affiliationid;normalizedname;displayname;university_normalized;University;Country;university_normalized_leiden
2801387343;alaska federation of natives;Alaska Federation of Natives;alaska federation of natives;;;
2801487198;maple grove hospital;Maple Grove Hospital;maple grove hospital;;;
2801870843;treasure valley community college;Treasure Valley Community College;treasure valley community college;;;
2802184818;majlis amanah rakyat;Majlis Amanah Rakyat;majlis amanah rakyat;;;
2802295813;mato grosso do sul state university;Mato Grosso do Sul State University;mato grosso do sul state university;;;
2802328928;oakland public library;Oakland Public Library;oakland public library;;;
2802469017;care hospitals;CARE Hospitals;care hospitals;;;
2802474972;multiple myeloma research foundation;Multiple Myeloma Research Foundation;multiple myeloma research foundation;;;
2802534011;medstar georgetown university hospital;MedStar Georgetown University Hospital;medstar georgetown university hospital;;;
2802835243;arizona heart hospital;Arizona Heart Hospital;arizona heart hospital;;;
2803050523;royal museums of art and history;Royal Museums of Art and History;royal museums of art and history;;;
2803087665;financiadora de estudos e projetos;Financiadora de Estudos e Projetos;financiadora de estudos e projetos;;;
2903214955;alternating hemiplegia of childhood foundation;Alternating Hemiplegia of Childhood Foundation;alternating hemiplegia of childhood foundation;;;
2916696057;the outer banks hospital;The Outer Banks Hospital;the outer banks hospital;;;
2920084377;southcentral kentucky community and technical college;Southcentral Kentucky Community and Technical College;southcentral kentucky community and technical college;;;
3367850;austin energy;Austin Energy;austin energy;;;
9842412;nanjing university of aeronautics and astronautics;Nanjing University of Aeronautics and Astronautics;nanjing university of aeronautics and astronautics;Nanjing University of Aeronautics and Astronautics;China;
11880225;national institute of technology karnataka;National Institute of Technology, Karnataka;national institute of technology, karnataka;;;
14870802;rajshahi medical college;Rajshahi Medical College;rajshahi medical college;;;
26653445;tellabs;Tellabs;tellabs;;;
30338065;university of caxias do sul;University of Caxias do Sul;university of caxias do sul;;;
34053993;hawaii loa college;Hawaii Loa College;hawaii loa college;;;
34949971;university of jinan;University of Jinan;university of jinan;University of Jinan;China;
37796252;beijing university of technology;Beijing University of Technology;beijing university of technology;Beijing University of Technology;China;
38113126;tadano limited;Tadano Limited;tadano limited;;;
43922553;wuhan university of science and technology;Wuhan University of Science and Technology;wuhan university of science and technology;Wuhan University of Science and Technology;China;
45164037;shah abdul latif university;Shah Abdul Latif University;shah abdul latif university;;;
45329014;taylors university;Taylors University;taylors university;;;
50047553;st michael s college llandaff;St. Michael's College, Llandaff;st. michael's college, llandaff;;;
53644760;zygo corporation;Zygo Corporation;zygo corporation;;;
63903255;northern norway regional health authority;Northern Norway Regional Health Authority;northern norway regional health authority;;;
64712228;national mining university of ukraine;National Mining University of Ukraine;national mining university of ukraine;;;
66441450;the international university of kagoshima;The International University of Kagoshima;the international university of kagoshima;;;
71126889;vishwakarma institute of technology;Vishwakarma Institute of Technology;vishwakarma institute of technology;;;
71146071;polk state college;Polk State College;polk state college;;;
74234424;chicago state university;Chicago State University;chicago state university;;;
83816512;university of genoa;University of Genoa;university of genoa;University of Genoa;Italy;
91036609;the citadel the military college of south carolina;The Citadel, The Military College of South Carolina;the citadel, the military college of south carolina;;;
99290277;college international de philosophie;Collège international de philosophie;college international de philosophie;;;
107640659;south ural state university;South Ural State University;south ural state university;;;
109391586;qatar central bank;Qatar Central Bank;qatar central bank;;;
116378192;trident microsystems;Trident Microsystems;trident microsystems;;;
117532281;guangzhou university of chinese medicine;Guangzhou University of Chinese Medicine;guangzhou university of chinese medicine;Guangzhou University of Chinese Medicine;China;
122587154;british homeopathic association;British Homeopathic Association;british homeopathic association;;;
122896396;gmr institute of technology;GMR Institute of Technology;gmr institute of technology;;;
126469861;orange polska;Orange Polska;orange polska;;;
134052481;harbin normal university;Harbin Normal University;harbin normal university;;;
146680358;rhodia;Rhodia;rhodia;;;
147743226;extracorporeal life support organization;Extracorporeal Life Support Organization;extracorporeal life support organization;;;
149592140;vista university;Vista University;vista university;;;
158060073;national college of natural medicine;National College of Natural Medicine;national college of natural medicine;;;
160674187;china three gorges corporation;China Three Gorges Corporation;china three gorges corporation;;;
161694222;lone star college north harris;Lone Star College–North Harris;lone star college-north harris;;;
165390105;university of south africa;University of South Africa;university of south africa;;;
165779595;university of melbourne;University of Melbourne;university of melbourne;University of Melbourne;Australia;
167593883;lam research;Lam Research;lam research;;;
177920660;australian college of physical education;Australian College of Physical Education;australian college of physical education;;;
194672558;autonomous university of coahuila;Autonomous University of Coahuila;autonomous university of coahuila;;;
197842652;hajee mohammad danesh science technology university;Hajee Mohammad Danesh Science & Technology University;hajee mohammad danesh science & technology university;;;
198919678;agence universitaire de la francophonie;Agence universitaire de la Francophonie;agence universitaire de la francophonie;;;
207817838;lohia machinery limited;Lohia Machinery Limited;lohia machinery limited;;;
210606318;universidad anahuac mexico sur;Universidad Anáhuac México Sur;universidad anahuac mexico sur;;;
226217635;iraq national oil company;Iraq National Oil Company;iraq national oil company;;;
233870863;mount zion college of engineering and technology;Mount Zion College of Engineering and Technology;mount zion college of engineering and technology;;;
235254920;australian hydrographic service;Australian Hydrographic Service;australian hydrographic service;;;
884326988;raychem corporation;Raychem Corporation;raychem corporation;;;
