,affiliationid,country
1186,143929237,IND
1187,146112026,IDN
1188,148314036,USA
1189,150016208,GBR
1190,154487569,USA
1191,157193870,IND
1192,159299179,KOR
1193,163998770,USA
1194,170148708,JPN
1195,177537411,RUS
1196,178098764,JPN
1197,183542713,DNK
1198,204926362,IND
1199,228546101,AUS
1200,247491477,KAZ
1201,268072154,USA
1202,871655764,CAN
1203,878584270,IRL
1204,879699304,USA
1205,882185564,USA
1206,884929124,JPN
1207,885208594,SGP
1208,896830806,GBR
1209,897554100,GBR
1210,899992584,IND
1211,902853133,BGD
1212,903994226,CHN
1213,910227697,FRA
1214,1280665786,UKR
1215,1286922834,IND
1216,1289461252,IND
1217,1293318137,USA
1218,1301553790,USA
1219,1305719726,GBR
1220,1311900378,GBR
1221,1313517881,USA
1222,1315120468,USA
1223,1325418199,NZL
1224,1330829364,SVN
1225,1336229394,IRN
1226,1336820898,USA
1227,1338288321,
1228,1340791620,AUS
1229,1340796518,USA
1230,1342625881,USA
1231,2799283415,USA
1232,2799597789,USA
1233,2799824193,USA
1234,2799827389,JPN
1235,2800104323,USA
1236,2800239257,LBY
1237,2801089538,GBR
1238,2801139014,USA
1239,2801317473,USA
1240,2801754460,GRC
1241,2801777058,USA
1242,2801874600,SGP
1243,2802096936,USA
1244,2802176782,USA
1245,2802207673,GBR
1246,2802279008,BEL
1247,2802330850,USA
1248,2802383966,JAM
1249,2802384191,AUS
1250,2802390878,CHN
1251,2802472345,GRC
1252,2802689130,USA
1253,2802752716,CAN
1254,2802827828,USA
1255,2802884590,USA
1256,2802936004,USA
1257,2803024705,AUS
1258,2939478955,USA
1259,530967,CAN
1260,1902872,FRA
1261,2197358,AUS
1262,4576418,MYS
1263,4855368,NZL
1264,6750721,USA
1265,8484343,FRA
1266,20412791,USA
1267,32539699,USA
1268,40813086,USA
1269,40863021,CAN
1270,47501254,FIN
1271,50282028,USA
1272,54939947,
1273,56165029,ARG
1274,58782413,IND
1275,60638368,DEU
1276,61869032,EGY
1277,63162264,LUX
1278,71302355,URY
1279,71999127,ESP
1280,73162669,SWE
1281,75522678,JPN
1282,82401606,
1283,87074743,PHL
1284,87318903,CHN
1285,88459447,NLD
1286,89506807,GRC
1287,89833154,USA
1288,91080651,ITA
1289,95549939,FRA
1290,96323854,TWN
1291,101786783,IND
1292,102549367,USA
1293,115503518,NLD
1294,116867862,USA
1295,124016691,DNK
1296,128014691,FIN
1297,128966281,GBR
1298,147230869,CHN
1299,151727225,CHN
1300,155765044,DEU
1301,164756455,UKR
1302,168635309,CAN
1303,186567439,GBR
1304,186579796,RUS
1305,187279525,IND
1306,193198326,USA
1307,193291145,USA
1308,197029344,IND
1309,198667473,KOR
1310,200090474,USA
1311,200641316,JPN
1312,204250578,USA
1313,205173300,PAK
1314,206046368,GBR
1315,207206903,MYS
1316,226123470,BRA
1317,243586174,USA
1318,261916979,IRN
1319,311639361,JPN
1320,333953776,NLD
1321,860813019,IND
1322,866667741,IND
1323,889256317,SWE
1324,893249203,USA
1325,897630457,USA
1326,1287207038,USA
1327,1291857502,USA
1328,1295962925,USA
1329,1307682583,USA
1330,1310145721,ITA
1331,1311636904,USA
1332,1314071896,USA
1333,1320277912,USA
1334,1323252656,PAK
1335,1323669539,USA
1336,1335113835,SWE
1337,1340591553,USA
1338,1342092835,USA
1339,1342238530,IND
1340,1343755810,
1341,2250650973,CAN
1342,2799298456,IRL
1343,2799334554,USA
1344,2799392499,USA
1345,2799756760,USA
1346,2800054209,CMR
1347,2800096870,DEU
1348,2800194916,GBR
1349,2800370534,CHN
1350,2800670452,USA
1351,2800826735,EGY
1352,2800875346,USA
1353,2800941746,SWE
1354,2800985256,FIN
1355,2801409096,JPN
1356,2801598962,PHL
1357,2801764696,SVK
1358,2801887429,USA
1359,2802519937,FRA
1360,2802635630,IRL
1361,2802682181,USA
1362,2802994541,USA
1363,2803025265,GBR
1364,4602263,USA
1365,4657992,USA
1366,5343935,CHN
1367,10452050,USA
1368,12450925,VNM
1369,15873915,IRQ
1370,17404232,BGD
1371,22265921,TWN
1372,24681614,USA
